Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status,Product Metafield: recircle.condition_grade [single_line_text_field],Product Metafield: recircle.co2_saved_kg [number_integer],Product Metafield: recircle.repair_score [number_integer],Product Metafield: recircle.warranty_months [number_integer],Product Metafield: recircle.warranty_text [single_line_text_field],Product Metafield: recircle.refurbished_year [number_integer],Product Metafield: recircle.origin_country [single_line_text_field],Product Metafield: recircle.condition_notes [multi_line_text_field],Product Metafield: recircle.dpp_id [single_line_text_field],Product Metafield: recircle.dpp_url [url],Product Metafield: recircle.battery_health_pct [number_integer],Product Metafield: recircle.cycle_count [number_integer]
iphone-13-128gb-refurb,iPhone 13 128GB — Refurbished,"<p>Certified refurbished iPhone 13 128GB, Midnight. Battery replaced, new screen protector, fresh iOS install. Data-wipe certificate included.</p>",Apple,Smartphone,"electronics, grade-a, apple, smartphone, iphone",TRUE,Title,Default Title,RC-IP13-128-A-001,1,529.00,699.00,TRUE,TRUE,https://placehold.co/900x900/1a2332/ffffff?text=iPhone+13,iPhone 13 refurbished,active,A,28,6,12,12-month ReCircle warranty,2024,China,"Pristine screen, original Apple parts, battery health 91%.",DPP-RC-IP13-001,https://dpp.recircle.example/ip13-001,91,180
iphone-12-pro-256gb-refurb,iPhone 12 Pro 256GB — Refurbished,"<p>iPhone 12 Pro in Graphite. Light scuffs on frame, screen flawless. Battery replaced last month.</p>",Apple,Smartphone,"electronics, grade-b, apple, smartphone, iphone",TRUE,Title,Default Title,RC-IP12P-256-B-001,1,479.00,649.00,TRUE,TRUE,https://placehold.co/900x900/2c2c2c/ffffff?text=iPhone+12+Pro,iPhone 12 Pro refurbished,active,B,32,6,12,12-month ReCircle warranty,2024,China,"Minor scratches on stainless frame, 88% battery, no screen marks.",DPP-RC-IP12P-001,https://dpp.recircle.example/ip12p-001,88,240
macbook-air-m1-2020-refurb,MacBook Air M1 2020 — Refurbished,"<p>MacBook Air 13"" M1, 8GB/256GB, Space Grey. Fully tested, new battery, macOS Sonoma.</p>",Apple,Laptop,"electronics, grade-a, apple, laptop, macbook",TRUE,Title,Default Title,RC-MBA-M1-A-001,1,799.00,1099.00,TRUE,TRUE,https://placehold.co/900x900/404040/ffffff?text=MacBook+Air+M1,MacBook Air M1 refurbished,active,A,85,4,12,12-month ReCircle warranty,2024,China,"Zero dents, keyboard perfect, new top-case fitted, battery health 96%.",DPP-RC-MBA-001,https://dpp.recircle.example/mba-001,96,120
galaxy-s22-128gb-refurb,Samsung Galaxy S22 128GB — Refurbished,"<p>Galaxy S22 Phantom Black. Minor edge wear, new display, factory-reset Android 14.</p>",Samsung,Smartphone,"electronics, grade-b, samsung, smartphone, android",TRUE,Title,Default Title,RC-S22-128-B-001,1,389.00,499.00,TRUE,TRUE,https://placehold.co/900x900/1f1f1f/ffffff?text=Galaxy+S22,Galaxy S22 refurbished,active,B,26,7,12,12-month ReCircle warranty,2024,Vietnam,"Light nicks on bezel, display replaced, 90% battery.",DPP-RC-S22-001,https://dpp.recircle.example/s22-001,90,210
ipad-air-4-refurb,iPad Air (4th gen) 64GB — Refurbished,"<p>iPad Air 4 Rose Gold, Wi-Fi. Fresh screen protector, original charger included.</p>",Apple,Tablet,"electronics, grade-a, apple, tablet, ipad",TRUE,Title,Default Title,RC-IPAD4-64-A-001,1,429.00,559.00,TRUE,TRUE,https://placehold.co/900x900/e8b4b8/2c2c2c?text=iPad+Air,iPad Air refurbished,active,A,42,3,12,12-month ReCircle warranty,2024,China,"Screen immaculate, tiny scuff on back corner, 94% battery.",DPP-RC-IPAD4-001,https://dpp.recircle.example/ipad4-001,94,95
levis-501-vintage,Levi's 501 Original — Vintage,<p>True vintage Levi's 501 in indigo. Professionally cleaned. Size 32x32.</p>,Levi's,Jeans,"fashion, grade-a, denim, vintage, levis",TRUE,Title,Default Title,RC-LEVI501-32-A,1,45.00,,TRUE,TRUE,https://placehold.co/900x900/2a3d5f/ffffff?text=Levi%27s+501,Vintage Levi's 501,active,A,11,9,1,30-day authenticity guarantee,2024,USA,"Dry-cleaned, no holes, original buttons, red tab.",,,,
barbour-beaufort-wax,Barbour Beaufort Waxed Jacket — Pre-loved,"<p>Barbour Beaufort in Olive. Re-waxed by our studio, size L.</p>",Barbour,Jacket,"fashion, grade-b, outerwear, barbour, wax",TRUE,Title,Default Title,RC-BB-BEAU-L-B,1,189.00,,TRUE,TRUE,https://placehold.co/900x900/4a5d3f/ffffff?text=Barbour+Beaufort,Barbour Beaufort jacket,active,B,18,9,3,3-month stitching warranty,2024,United Kingdom,"Freshly re-waxed, lining spotless, zip perfect, minor elbow patina.",,,,
dr-martens-1460-black,Dr. Martens 1460 Boots — Refurbished,"<p>Iconic 1460 in black, UK 8. Resoled by our cobbler, leather conditioned.</p>",Dr. Martens,Boots,"fashion, grade-a, footwear, boots, docmartens",TRUE,Title,Default Title,RC-DM1460-UK8-A,1,115.00,,TRUE,TRUE,https://placehold.co/900x900/1a1a1a/ffd700?text=Dr.+Martens,Dr. Martens 1460,active,A,9,8,6,6-month sole warranty,2024,United Kingdom,"New soles fitted, leather fed and polished, original yellow stitching.",,,,
burberry-trench-m,Burberry Classic Trench Coat (M) — Pre-loved,"<p>Authenticated Burberry classic trench, size M, honey. Dry cleaned.</p>",Burberry,Coat,"fashion, grade-b, outerwear, designer, burberry",TRUE,Title,Default Title,RC-BUR-TR-M-B,1,899.00,,TRUE,TRUE,https://placehold.co/900x900/c9b37c/1a1a1a?text=Burberry+Trench,Burberry trench coat,active,B,22,5,6,6-month authentication guarantee,2024,United Kingdom,"Authenticated by in-house expert, minor belt-wear, buttons original.",DPP-RC-BUR-001,https://dpp.recircle.example/bur-001,,
ralph-lauren-oxford,Ralph Lauren Oxford Shirt — Vintage,"<p>Classic-fit RL Oxford in light blue, size L. Vintage from early 2000s.</p>",Ralph Lauren,Shirt,"fashion, grade-a, shirts, vintage, ralphlauren",TRUE,Title,Default Title,RC-RL-OX-L-A,1,55.00,,TRUE,TRUE,https://placehold.co/900x900/7fa8c9/1a1a1a?text=RL+Oxford,Ralph Lauren Oxford shirt,active,A,7,9,1,30-day fit guarantee,2024,USA,"Button-down collar, original pony logo, no stains or pilling.",,,,
midcentury-teak-table,Mid-Century Teak Dining Table — Restored,"<p>Extending Danish teak dining table, 1960s. Fully restored surface, seats 6-8.</p>",Danish,Dining table,"furniture, grade-a, midcentury, teak, dining",TRUE,Title,Default Title,RC-MC-TEAK-A,1,580.00,,TRUE,TRUE,https://placehold.co/900x900/8b6f47/ffffff?text=Teak+Table,Mid-century teak table,active,A,95,10,24,24-month structural warranty,2024,Denmark,"Top re-finished with Danish oil, legs re-glued, extensions smooth.",DPP-RC-TEAK-001,https://dpp.recircle.example/teak-001,,
ercol-windsor-rocking,Ercol Windsor Rocking Chair — Pre-loved,"<p>Ercol Windsor elm rocker, 1970s. Light patina preserved, joints reinforced.</p>",Ercol,Chair,"furniture, grade-b, midcentury, ercol, chair",TRUE,Title,Default Title,RC-ERC-ROCK-B,1,320.00,,TRUE,TRUE,https://placehold.co/900x900/b8956b/1a1a1a?text=Ercol+Rocker,Ercol rocking chair,active,B,52,10,12,12-month structural warranty,2024,United Kingdom,"Minor surface marks celebrated as patina, all joints re-glued, rocks smoothly.",,,,
gplan-sideboard-danish,G Plan Sideboard (Danish Modern) — Restored,"<p>G Plan Fresco teak sideboard. Fully restored, sliding doors realigned.</p>",G Plan,Sideboard,"furniture, grade-a, midcentury, gplan, storage",TRUE,Title,Default Title,RC-GP-SIDEB-A,1,680.00,,TRUE,TRUE,https://placehold.co/900x900/6d4f35/ffffff?text=G+Plan+Sideboard,G Plan sideboard,active,A,110,9,24,24-month structural warranty,2024,United Kingdom,"Teak re-oiled, drawer runners serviced, original handles polished.",DPP-RC-GP-001,https://dpp.recircle.example/gp-001,,
miele-w1-washing-machine,Miele W1 Washing Machine — Refurbished,"<p>Miele W1 WDD030, 8kg. Full diagnostic, new seals, energy-test passed.</p>",Miele,Appliance,"furniture, grade-a, appliance, miele, washing-machine",TRUE,Title,Default Title,RC-MIELE-W1-A,1,399.00,699.00,TRUE,TRUE,https://placehold.co/900x900/eeeeee/1a1a1a?text=Miele+W1,Miele washing machine,active,A,165,8,24,24-month parts & labour,2024,Germany,"Drum re-balanced, door seal replaced, 30 passed test cycles on-site.",DPP-RC-MIELE-001,https://dpp.recircle.example/miele-001,,
anglepoise-lamp-vintage,Vintage Anglepoise Desk Lamp — Restored,"<p>1960s Anglepoise 1227, cream. Full rewire, PAT-tested, new LED bulb included.</p>",Anglepoise,Lighting,"furniture, grade-b, lighting, anglepoise, vintage",TRUE,Title,Default Title,RC-ANGL-1227-B,1,145.00,,TRUE,TRUE,https://placehold.co/900x900/d4c4a0/1a1a1a?text=Anglepoise,Vintage Anglepoise lamp,active,B,14,10,12,12-month electrical warranty,2024,United Kingdom,"Complete rewire with fabric flex, PAT tested, springs re-tensioned.",,,,
